iter	Passed	Remaining
0	13	12358
1	25	11666
2	38	11520
3	51	11468
4	64	11547
5	77	11525
6	90	11586
7	104	11647
8	117	11664
9	131	11712
10	145	11759
11	159	11801
12	173	11855
13	187	11846
14	200	11828
15	213	11820
16	227	11816
17	241	11830
18	255	11843
19	269	11855
20	283	11868
21	297	11867
22	311	11884
23	325	11885
24	340	11904
25	354	11907
26	368	11901
27	382	11909
28	396	11906
29	410	11899
30	423	11879
31	438	11887
32	452	11900
33	466	11883
34	480	11878
35	494	11874
36	508	11861
37	522	11847
38	536	11836
39	549	11824
40	563	11801
41	577	11789
42	591	11782
43	605	11776
44	619	11766
45	633	11756
46	647	11756
47	661	11742
48	674	11721
49	687	11694
50	701	11676
51	715	11661
52	729	11652
53	743	11652
54	757	11637
55	771	11623
56	785	11611
57	798	11595
58	812	11582
59	826	11565
60	840	11556
61	854	11547
62	868	11536
63	881	11518
64	896	11510
65	910	11499
66	923	11480
67	937	11469
68	951	11455
69	964	11441
70	978	11428
71	992	11417
72	1006	11407
73	1020	11395
74	1035	11387
75	1049	11375
76	1063	11369
77	1077	11359
78	1092	11352
79	1116	11444
80	1130	11430
81	1144	11419
82	1159	11408
83	1172	11393
84	1186	11372
85	1199	11351
86	1213	11336
87	1226	11321
88	1242	11323
89	1256	11311
90	1270	11296
91	1284	11282
92	1298	11268
93	1313	11260
94	1328	11255
95	1342	11246
96	1357	11235
97	1370	11219
98	1384	11198
99	1397	11181
100	1411	11166
101	1425	11152
102	1439	11138
103	1454	11130
104	1468	11115
105	1481	11098
106	1496	11087
107	1509	11070
108	1523	11055
109	1537	11041
110	1552	11033
111	1566	11020
112	1580	11004
113	1593	10989
114	1607	10975
115	1621	10958
116	1635	10943
117	1649	10929
118	1663	10914
119	1676	10897
120	1689	10877
121	1702	10859
122	1716	10841
123	1729	10824
124	1743	10811
125	1758	10802
126	1772	10787
127	1785	10770
128	1800	10760
129	1813	10742
130	1827	10725
131	1840	10707
132	1853	10691
133	1868	10679
134	1882	10666
135	1896	10652
136	1910	10638
137	1924	10624
138	1938	10610
139	1952	10599
140	1966	10585
141	1980	10569
142	1994	10556
143	2007	10539
144	2021	10523
145	2034	10507
146	2048	10494
147	2063	10482
148	2077	10469
149	2091	10456
150	2104	10440
151	2118	10425
152	2132	10410
153	2146	10395
154	2160	10383
155	2174	10369
156	2187	10353
157	2202	10341
158	2216	10327
159	2230	10314
160	2244	10301
161	2258	10289
162	2272	10275
163	2286	10262
164	2301	10252
165	2315	10238
166	2329	10226
167	2344	10213
168	2358	10202
169	2372	10189
170	2386	10173
171	2400	10160
172	2414	10148
173	2429	10134
174	2442	10120
175	2456	10105
176	2470	10090
177	2484	10076
178	2498	10063
179	2512	10048
180	2526	10034
181	2539	10019
182	2554	10007
183	2568	9996
184	2582	9981
185	2596	9968
186	2610	9954
187	2624	9941
188	2639	9928
189	2654	9918
190	2668	9905
191	2682	9892
192	2697	9882
193	2711	9868
194	2726	9855
195	2740	9841
196	2753	9826
197	2767	9812
198	2781	9797
199	2795	9783
200	2808	9768
201	2822	9754
202	2837	9740
203	2851	9727
204	2865	9713
205	2878	9697
206	2892	9683
207	2906	9668
208	2919	9653
209	2933	9638
210	2947	9626
211	2961	9611
212	2975	9597
213	2989	9584
214	3003	9570
215	3017	9554
216	3030	9539
217	3045	9526
218	3059	9514
219	3073	9499
220	3087	9486
221	3101	9472
222	3115	9457
223	3128	9442
224	3142	9428
225	3156	9414
226	3171	9402
227	3185	9388
228	3199	9375
229	3214	9363
230	3229	9352
231	3243	9339
232	3257	9324
233	3271	9311
234	3285	9298
235	3300	9285
236	3315	9274
237	3329	9261
238	3343	9247
239	3357	9233
240	3371	9220
241	3386	9207
242	3400	9193
243	3414	9180
244	3429	9168
245	3443	9154
246	3457	9139
247	3471	9125
248	3485	9111
249	3499	9098
250	3513	9084
251	3527	9070
252	3541	9056
253	3555	9043
254	3569	9029
255	3584	9016
256	3597	9001
257	3612	8990
258	3626	8976
259	3640	8962
260	3654	8947
261	3668	8933
262	3682	8918
263	3696	8904
264	3710	8890
265	3723	8875
266	3737	8861
267	3751	8846
268	3764	8830
269	3779	8817
270	3792	8802
271	3806	8787
272	3819	8772
273	3833	8758
274	3847	8745
275	3861	8731
276	3876	8717
277	3890	8703
278	3903	8689
279	3917	8674
280	3931	8659
281	3945	8645
282	3958	8631
283	3973	8617
284	3987	8603
285	4001	8589
286	4014	8574
287	4028	8559
288	4041	8545
289	4055	8531
290	4069	8517
291	4084	8504
292	4098	8490
293	4111	8475
294	4125	8460
295	4139	8446
296	4153	8432
297	4166	8417
298	4180	8403
299	4195	8390
300	4208	8375
301	4222	8360
302	4235	8345
303	4250	8333
304	4264	8318
305	4277	8303
306	4291	8289
307	4306	8276
308	4320	8263
309	4333	8248
310	4347	8234
311	4360	8217
312	4372	8200
313	4385	8184
314	4398	8168
315	4414	8158
316	4432	8151
317	4450	8144
318	4464	8130
319	4477	8115
320	4489	8098
321	4501	8080
322	4513	8062
323	4524	8044
324	4535	8025
325	4547	8007
326	4559	7989
327	4570	7970
328	4581	7952
329	4592	7932
330	4603	7913
331	4613	7893
332	4624	7874
333	4635	7855
334	4646	7836
335	4660	7822
336	4681	7821
337	4699	7813
338	4718	7809
339	4732	7793
340	4744	7778
341	4757	7762
342	4769	7745
343	4782	7729
344	4793	7712
345	4806	7695
346	4819	7680
347	4831	7663
348	4843	7647
349	4857	7633
350	4871	7619
351	4884	7603
352	4897	7588
353	4908	7571
354	4920	7554
355	4932	7537
356	4944	7520
357	4956	7503
358	4967	7486
359	4979	7469
360	4991	7452
361	5003	7436
362	5015	7419
363	5027	7403
364	5039	7386
365	5051	7369
366	5062	7352
367	5074	7336
368	5086	7320
369	5099	7304
