,Molecule ChEMBL ID,Molecule Max Phase,Smiles,pChEMBL Value,Potential Duplicate,Assay Description,Target Type,Standard Relation,Standard Value,Standard Units,Value
0,CHEMBL48029,0,c1ccc(COc2ccc(CCNc3ccncc3)cc2)cc1,6.89,0.0,Displacement of [35S]MK-499 from hERG potassium channel expressed in HEK293 cells,SINGLE PROTEIN,'=',130.0,nM,130.0
1,CHEMBL2158563,0,CCN(CC)CCOc1cc(-c2nc(SCC(=O)NC)nc3[nH]cc(C#N)c23)c(Cl)cc1Cl,5.5,0.0,Displacement of [3H]-dofetilide from human ERG,SINGLE PROTEIN,'=',3140.0,nM,3.14
2,CHEMBL4102140,0,N#C[C@H]1CCOC[C@@H]1n1cc(C(N)=O)c(Nc2ccc(OC(F)F)cc2)n1,4.6,0.0,Displacement of [35S]-MK499 from human ERG expressed in HEK293 cell membranes,SINGLE PROTEIN,'=',25000.0,nM,25000.0
3,CHEMBL4096821,0,N#C[C@H]1CCOC[C@@H]1n1cc(C(N)=O)c(Nc2ccc(-n3ccnn3)cc2)n1,4.88,0.0,Displacement of [35S]-MK499 from human ERG expressed in HEK293 cell membranes,SINGLE PROTEIN,'=',13200.0,nM,13200.0
4,CHEMBL1771096,0,Cc1cnc(N2CCC(C3CCN(c4cc(C)nc(C#N)n4)CC3)CC2)cn1,4.97,0.0,Inhibition of human ERG,SINGLE PROTEIN,'=',10600.0,nM,10600.0
5,CHEMBL487273,0,NC(=O)Nc1sc(-c2ccccc2)cc1C(=O)N[C@H]1CCCNC1,,1.0,Inhibition of human ERG expressed in CHO cells at -80 mV holding potential by patch clamp assay,SINGLE PROTEIN,'>',31600.0,nM,31.6
6,CHEMBL1808624,0,O=C(/C=C/c1ccc2c(c1)CN(C(=O)Cc1ccccc1)C2)NO,,0.0,Inhibition of human ERG by automated patch clamp assay,SINGLE PROTEIN,'>',30000.0,nM,30.0
7,CHEMBL1808633,0,O=C(/C=C/c1ccc2c(c1)CN(S(=O)(=O)c1cccnc1)C2)NO,,0.0,Inhibition of human ERG by automated patch clamp assay,SINGLE PROTEIN,'>',30000.0,nM,30.0
8,CHEMBL3317856,3,O=c1ccc2ncc(=O)n3c2n1C[C@H]3CN1CCC(NCc2cc3c(cn2)OCCC3)CC1,,0.0,Inhibition of human ERG,SINGLE PROTEIN,'=',588.0,ug.mL-1,588.0
9,CHEMBL5315124,4,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23.C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23.O,,1.0,Inhibition of human ERG current by patch clamp assay,SINGLE PROTEIN,'=',915000.0,nM,915.0
10,CHEMBL850,4,C[C@@H]1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C[C@H](C)N1,4.47,1.0,Binding affinity to human ERG F656A tandem dimeric mutant expressed in HEK293 cells assessed as inhibition of tail current measured upon repolarization to -120 mV by patch clamp method,SINGLE PROTEIN,'=',33600.0,nM,33.6
11,CHEMBL5315124,4,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23.C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23.O,,0.0,Binding affinity to human ERG Y652A tetrameric mutant expressed in HEK293 cells assessed as inhibition of tail current measured upon repolarization to -40 mV by patch clamp method,SINGLE PROTEIN,'>',5000000.0,nM,5.0
12,CHEMBL429734,0,Cc1oc(-c2cccc(Cl)c2)nc1CCOc1cccc(C[C@@H]2C(=O)N(c3ccc(C(C)(C)C)cc3)[C@@H]2C(=O)O)c1,5.75,0.0,Inhibition of human ERG by FLIPR assay,SINGLE PROTEIN,'=',1800.0,nM,1.8
13,CHEMBL2386636,0,C[C@@H](O)c1nc2cnc3[nH]ccc3c2n1[C@H]1CC[C@H](CCC#N)CC1,4.7,0.0,Inhibition of human ERG channel expressed in HEK293 cells by patch clamp assay,SINGLE PROTEIN,'=',20000.0,nM,20.0
14,CHEMBL2386633,0,C[C@@H](O)c1nc2cnc3[nH]ccc3c2n1[C@H]1CC[C@H](C#N)CC1,,0.0,Inhibition of human ERG channel expressed in HEK293 cells by patch clamp assay,SINGLE PROTEIN,'>',100000.0,nM,100.0
15,CHEMBL1829633,0,O=C(CNC(=O)c1cccc(C(F)(F)F)c1)NC1CN([C@H]2CC[C@](O)(c3ccc4c(c3)OCO4)CC2)C1,4.87,0.0,Displacement of [3H]astemizole from human ERG expressed in HEK293 cells after 1 hr,SINGLE PROTEIN,'=',13500.0,nM,13.5
16,CHEMBL1829618,0,O=C(CNC(=O)c1cccc(C(F)(F)F)c1)NC1CN([C@H]2CC[C@H](c3cccnc3)CC2)C1,5.42,0.0,Displacement of [3H]astemizole from human ERG expressed in HEK293 cells after 1 hr,SINGLE PROTEIN,'=',3800.0,nM,3.8
17,CHEMBL4073176,0,COC(=O)C1=C(CN2CCOC[C@H]2C(=O)O)NC(c2nccs2)=NC1c1ccc(F)cc1Cl,,0.0,Inhibition of human ERG expressed in HEK293 cells at -80 mV holding potential by manual-patch-clamp electrophysiology assay,SINGLE PROTEIN,'>',30000.0,nM,30.0
18,CHEMBL4095407,0,CCOC(=O)C1=C(CN2CCOC[C@H]2C(=O)O)NC(c2nccs2)=N[C@H]1c1ccc(Cl)cc1Cl,,0.0,Inhibition of human ERG expressed in HEK293 cells at -80 mV holding potential by manual-patch-clamp electrophysiology assay,SINGLE PROTEIN,'>',30000.0,nM,30.0
19,CHEMBL209324,0,COc1ccccc1N1CCN(CCCCNS(=O)(=O)c2ccc(C)cc2)CC1,,0.0,Inhibition of hERG potassium channel in HEK293 cells by patch clamp assay,SINGLE PROTEIN,'>',5000.0,nM,5000.0
20,CHEMBL4069245,0,Cc1c([C@@H](O)CN2CCC3(CC2)CCN(c2ccc(=O)n(C)n2)C3=O)ccc2c1COC2=O,4.7,0.0,Inhibition of human ERG by PatchXpress method,SINGLE PROTEIN,'=',20000.0,nM,20.0
21,CHEMBL1223600,0,CC(C)c1ccc(CS(=O)(=O)c2ccc([C@]34CNC[C@H]3C4)cc2)cc1,5.5,0.0,Inhibition of human ERG,SINGLE PROTEIN,'=',3162.28,nM,5.5
22,CHEMBL1255595,0,Cc1ccc(CN2[C@@H]3CC[C@H]2C[C@H](Oc2cccc(C(N)=O)c2)C3)o1,8.55,0.0,Inhibition of human ERG,SINGLE PROTEIN,'=',2.8,nM,2.8
23,CHEMBL1257820,0,NC(=O)c1cccc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3CCCc2ccccc2)c1,9.6,0.0,Inhibition of human ERG,SINGLE PROTEIN,'=',0.25,nM,0.25
24,CHEMBL1258047,0,NC(=O)c1cccc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3Cc2ccncc2)c1,8.82,0.0,Inhibition of human ERG,SINGLE PROTEIN,'=',1.5,nM,1.5
